10000 3333
5285 2764 9761.4881400126
7352 2764 6.99543864594563
4787 7352 9.0464222025761
571 4787 6.96927877367134
8910 571 1.91681287034765
2684 8910 7.57540127758137
6933 2684 5.31434494842411
6308 6933 6.14604501723822
9218 6308 2.70726068940757
1683 9218 8.27806012539344
944 1683 8.47428094166073
9639 944 3.61948685880837
3697 9639 5.99271133636744
8821 3697 0.496762864420823
5904 8821 0.688775372071255
7172 5904 7.06411222465821
3661 7172 4.38988892382223
480 3661 9.31433108368498
6243 480 9.98632294283166
7632 6243 5.79660097717383
4626 7632 0.00919604661628881
1845 4626 6.54096031680286
3093 1845 0.639949454008466
4560 3093 9.07072494210698
2763 4560 4.79158641911521
7992 2763 7.85479837154998
6040 7992 7.18346008832921
8825 6040 8.75402948673443
4593 8825 8.23997066982638
8570 4593 6.37338799353007
2622 8570 6.68113809062955
1433 2622 7.44981424657684
6932 1433 6.87285304727435
2683 6932 5.97048802410729
5464 2683 2.43113065738353
5598 5464 7.39552872333352
4268 5598 2.82359991603737
2931 4268 7.70161533775752
7249 2931 2.40971197772293
5927 7249 3.79877660168919
3740 5927 8.66694404685131
5370 3740 1.81297796899475
1840 5370 7.45306649235228
1675 1840 8.66470075764912
3679 1675 1.77503182968717
5178 3679 5.98229796402894
5854 5178 7.42518856176556
525 5854 7.6235990560588
254 525 4.28852366370858
6192 254 7.67635061731159
8715 6192 8.43494786017086
9112 8715 2.78519915996444
8212 9112 4.13396090301529
6164 8212 4.80887487812527
803 6164 0.542322936529409
6574 803 9.22609869947056
5908 6574 8.42681586207913
8576 5908 4.2438378373733
8696 8576 3.33325850911503
7858 8696 1.35945527275087
1872 7858 3.07034450977863
6156 1872 2.11286432972589
3694 6156 6.24455518500039
4188 3694 8.14108887686874
2 4188 1.39356460593842
869 2 3.40197081127901
4838 869 1.5846534208762
9138 4838 2.83373749106349
3166 9138 0.267385159279847
73 3166 0.811570797882162
441 73 0.823126666609788
86 441 3.88128466015875
428 86 4.29611621068897
8788 428 4.50504727429138
2799 8788 8.91115175794905
6490 2799 8.3373560507491
1457 6490 7.40229107070814
3572 1457 5.03501560930363
9186 3572 7.14717774977824
8378 9186 8.24776007782138
2734 8378 6.40593626515749
4371 2734 1.47272863702899
8500 4371 2.41646750633176
707 8500 3.40382582446669
4130 707 3.04512756779257
6897 4130 5.56490368945664
7007 6897 9.51013948977216
1872 7007 0.963769602339575
1117 1872 9.29287362390436
9572 1117 0.603579490471198
8503 9572 3.66879031353871
7498 8503 3.58179962552047
7445 7498 5.7960717937679
5891 7445 0.618438946475415
3908 5891 2.49773175187268
3909 3908 2.8897463954377
5458 3909 4.7954839698458
5175 5458 1.48736199377556
2848 5175 9.96532902192566
9147 2848 4.44358451950539
6396 9147 6.9813832466529
2106 6396 0.609800787885781
5050 2106 0.32288027985711
3291 5050 3.57728981113329
989 3291 6.39772544718834
8199 989 5.89889764490767
2564 8199 6.47393039732744
3957 2564 8.99905364376512
1466 3957 8.72840263484118
6410 1466 8.02209427014123
4727 6410 5.57286520979286
7318 4727 2.41995465660128
9698 7318 6.08233886467598
3439 9698 2.05630893408358
6586 3439 4.44708555300817
9779 6586 8.02276603466257
2587 9779 5.73989155300449
3008 2587 6.02258638097158
8031 3008 8.81401352914391
501 8031 5.15865471085082
5082 501 1.2312249691497
7320 5082 4.12645338002466
5301 7320 3.20363656892393
404 5301 1.30210696266293
3202 404 1.58802547830856
3298 3202 1.95404095454411
8712 3298 2.99924798118976
8956 8712 9.99949300121447
4336 8956 8.64313128941955
4730 4336 9.360362449025
460 4730 6.07349580629798
6105 460 0.314261275229093
9735 6105 2.84835258694141
1466 9735 4.33496471943716
4192 1466 9.12380491475684
3046 4192 0.101831337650005
4584 3046 5.23896105044923
1982 4584 7.74149785683125
3661 1982 3.00069041750842
2137 3661 5.33983224752976
4361 2137 6.89403089095418
6239 4361 4.50157697942632
1213 6239 2.07443357926248
3301 1213 1.69441160485466
2259 3301 7.52501665785314
1591 2259 1.52963775333507
8159 1591 5.00004455128842
1456 8159 2.5209184409599
1397 1456 1.67065619541443
5715 1397 6.52431542708303
8099 5715 8.11738936507137
7152 8099 9.57734131219187
7232 7152 4.38449025270597
7003 7232 4.58320529007796
1201 7003 8.16281175323891
477 1201 8.87146106947373
186 477 8.27199337587199
4672 186 1.5316905901857
2105 4672 7.97053348916446
6512 2105 4.26775590143055
5781 6512 0.267513836664754
7969 5781 3.84285207056866
6633 7969 7.40657006165375
9127 6633 5.7476743737303
9812 9127 9.63692347613726
6282 9812 5.07430141094336
2834 6282 1.90485162612045
8768 2834 7.54697031229686
9016 8768 8.35008146740346
9700 9016 7.85910898341303
9991 9700 2.66469229865745
9017 9991 3.78637150305142
3508 9017 1.18791912637203
2637 3508 8.66182445803179
5192 2637 5.82070398440973
6190 5192 5.66693230583841
5858 6190 5.73215602436004
1491 5858 9.74691691825644
817 1491 2.71070405665537
5987 817 4.81899840519223
