1000 333
631 444 1.98132687053782
878 665 3.61554595627226
490 843 7.57603277443568
943 235 3.00902660460885
890 871 6.28011301698731
123 582 2.18568669747611
952 351 7.39940800305607
973 554 1.73570964933013
566 534 4.35987756449418
860 825 4.50220955914418
801 93 9.25703590041511
518 369 3.95878016922389
550 593 5.33916817902504
82 500 8.78145668364482
940 73 1.83341377300724
648 792 7.02177125005839
737 225 4.60899333377778
530 97 0.394907657843504
861 871 8.57191020244361
976 477 0.106393127368065
401 128 2.03529112723512
635 310 0.274799847772726
799 222 2.93423731687955
479 293 6.19425819605873
71 918 1.99128289855292
857 477 6.62926936533054
672 935 1.13179637563068
513 476 4.54756950596909
888 421 7.24424538890982
253 696 7.85049226219201
232 583 7.89837136409052
632 9 6.68359526459817
695 155 9.52190200652705
166 29 8.67781048996548
441 997 2.84710263248858
3 942 1.20884226127465
884 512 2.72255739808653
126 732 3.455819414161
257 405 4.31033209689094
346 609 0.823520387298444
942 421 9.94660813523279
994 849 1.98026384776043
158 570 6.14447627914618
895 245 2.3774241790256
408 802 9.89523401673832
828 627 6.44647830308941
542 597 1.23300661921792
260 372 7.59576118049715
271 660 8.62873738974439
743 254 5.61890507328869
171 504 4.87210117352081
423 125 5.50749653402853
873 491 8.4697301322586
782 156 1.95757147196758
632 661 7.00253114149024
847 832 5.67797418618021
774 117 1.08649763879765
833 289 3.21869570659501
985 936 5.57856276466683
602 819 5.01918306772161
443 568 7.95447443670835
183 161 5.36096006284367
747 637 4.05454314306485
971 292 6.64107719457938
669 986 9.76767505728173
183 992 3.52433095845058
903 137 4.93060053751979
666 207 1.30059746732719
334 420 0.599714618294875
792 99 1.71125861119236
835 526 3.03247889907329
46 989 5.35499564452856
274 106 1.18205436807198
560 1 5.61604518129641
991 589 7.30264581225473
588 736 1.55499315518519
958 159 4.40539632055074
899 454 2.06126991901897
506 414 7.53991588335669
110 914 3.81223472267259
124 506 0.732556201172194
635 865 9.67329369821911
151 561 3.02612097247764
224 171 5.50418482186082
463 144 9.65524334968162
747 881 9.94367397154264
442 906 7.19778768421822
252 867 4.66657940762239
424 27 8.49429811313524
505 972 3.58019526730246
912 530 6.42905432146851
300 463 3.26605176162055
721 904 1.93815973555186
773 225 1.16930048730239
743 426 0.153627194711596
369 487 1.80961533015015
646 535 4.78648893473075
901 277 8.48888508369882
792 876 3.62664289069503
14 249 2.9680736938699
950 702 8.8075273767765
176 32 8.38333031652979
577 509 6.86382196418453
30 530 7.27065394551822
999 305 9.66526923982865
421 949 2.716693846764
805 535 3.04097364981548
422 667 1.84049037914697
35 427 6.10592612538849
597 902 8.54928652763192
314 347 4.83119372279578
470 754 6.62603613903563
635 168 5.43631385346725
783 802 3.05033404459934
932 639 6.8331916923896
4 346 6.65181696326535
220 354 0.40213190788954
939 669 1.51399961910112
600 902 2.03242929463485
231 894 7.40394980175811
762 594 3.85873656300511
718 566 9.72688550876565
518 882 8.98663114248308
523 740 1.65155177710194
357 740 6.14838673656344
700 287 0.099308521521202
829 497 6.73062595630384
946 204 2.62205821313277
892 74 3.18666874318701
476 543 4.08383130625079
35 405 1.98557970192496
358 221 3.76981174650144
321 105 2.08210264283132
432 127 2.27454980105858
812 87 5.6025682280783
943 966 7.53894152246833
492 627 4.33722051972872
180 245 4.61062468293047
744 693 4.88538743757175
569 119 8.08268220133147
821 189 8.46857591772924
936 102 2.91871174436817
566 175 9.14741030508949
220 350 8.32115487057255
996 993 1.44747075940025
94 790 6.23587816827946
128 880 3.93510363758594
516 307 8.61271200123998
605 515 2.21728916462602
225 696 5.42381316898979
983 251 2.13772085458672
977 120 9.40752311101424
118 624 2.67562891501463
964 860 4.88324479975969
913 196 3.79220275174504
903 12 2.49347946876373
388 259 6.77343650817328
148 621 4.19078802064956
719 757 6.80983682672448
630 918 5.42942812120035
32 759 4.60134643585498
891 938 7.03905049996788
360 559 3.34088791688941
183 450 0.678660866482126
57 525 8.79641512710798
407 193 4.63854021287101
268 312 8.01810924838193
395 940 5.08968566728615
835 450 6.57019054687602
586 676 3.75433082695221
423 927 6.06141415094925
732 317 0.598549511988331
